CustomerKey,Full_name,Gender,DateFirstPurchase,Coustomer_city
11000,Jon Yang,Male,19-01-2020,Rockhampton
11001,Eugene Huang,Male,15-01-2020,Seaford
11002,Ruben Torres,Male,07-01-2020,Hobart
11003,Christy Zhu,Female,29-12-2019,North Ryde
11004,Elizabeth Johnson,Female,23-01-2020,Wollongong
11005,Julio Ruiz,Male,30-12-2019,East Brisbane
11006,Janet Alvarez,Female,24-01-2020,Matraville
11007,Marco Mehta,Male,09-01-2020,Warrnambool
11008,Rob Verhoff,Female,25-01-2020,Bendigo
11009,Shannon Carlson,Male,27-01-2020,Hervey Bay
11010,Jacquelyn Suarez,Female,14-01-2020,East Brisbane
11011,Curtis Lu,Male,30-12-2019,East Brisbane
11012,Lauren Walker,Female,16-03-2022,Bremerton
11013,Ian Jenkins,Male,13-04-2022,Lebanon
11014,Sydney Bennett,Female,23-03-2022,Redmond
11015,Chloe Young,Female,18-01-2022,Burbank
11016,Wyatt Hill,Male,09-02-2022,Imperial Beach
11017,Shannon Wang,Female,12-01-2020,Sunbury
11018,Clarence Rai,Male,17-01-2020,Bendigo
11019,Luke Lal,Male,12-02-2022,Langley
11020,Jordan King,Male,29-12-2021,Metchosin
11021,Destiny Wilson,Female,23-01-2022,Beaverton
11022,Ethan Zhang,Male,20-01-2022,Bellingham
11023,Seth Edwards,Male,17-02-2022,Bellflower
11024,Russell Xie,Male,27-06-2022,Concord
11025,Alejandro Beck,Male,06-01-2020,Hawthorne
11026,Harold Sai,Male,23-01-2020,Goulburn
11027,Jessie Zhao,Male,16-01-2020,Warrnambool
11028,Jill Jimenez,Female,26-01-2020,St. Leonards
11029,Jimmy Moreno,Male,19-01-2020,Bendigo
11030,Bethany Yuan,Female,05-02-2020,Cloverdale
11031,Theresa Ramos,Female,01-02-2020,Matraville
11032,Denise Stone,Female,18-02-2020,Melbourne
11033,Jaime Nath,Male,15-02-2020,Milsons Point
11034,Ebony Gonzalez,Female,01-02-2020,North Sydney
11035,Wendy Dominguez,Female,06-02-2020,Cranbourne
11036,Jennifer Russell,Female,22-01-2022,National City
11037,Chloe Garcia,Female,20-01-2022,Cliffside
11038,Diana Hernandez,Female,07-02-2020,Lavender Bay
11039,Marc Martin,Male,07-02-2020,Wollongong
11040,Jesse Murphy,Male,03-04-2022,Tacoma
11041,Amanda Carter,Female,14-01-2022,Glendale
11042,Megan Sanchez,Female,21-01-2022,Los Angeles
11043,Nathan Simmons,Male,08-05-2022,Glendale
11044,Adam Flores,Male,28-02-2020,Hervey Bay
11045,Leonard Nara,Male,10-04-2022,Matraville
11046,Christine Yuan,Female,06-02-2020,Lavender Bay
11047,Jaclyn Lu,Female,03-02-2020,Geelong
11048,Jeremy Powell,Male,10-02-2020,Sunbury
11049,Carol Rai,Female,09-03-2022,Chula Vista
11050,Alan Zheng,Male,20-02-2020,Hobart
11051,Daniel Johnson,Male,29-12-2022,Caloundra
11052,Heidi Lopez,Female,17-02-2020,Matraville
11053,Ana Price,Female,17-01-2022,San Diego
11054,Deanna Munoz,Female,03-02-2020,Geelong
11055,Gilbert Raje,Male,31-01-2020,East Brisbane
11056,Michele Nath,Female,26-02-2020,Newcastle
11057,Carl Andersen,Male,22-02-2020,Lane Cove
11058,Marc Diaz,Male,09-03-2020,Findon
11059,Ashlee Andersen,Female,18-02-2022,Townsville
11060,Jon Zhou,Male,19-03-2020,Warrnambool
11061,Todd Gao,Male,13-03-2020,Gold Coast
11062,Noah Powell,Male,07-01-2022,Portland
11063,Angela Murphy,Female,12-01-2022,Redmond
11064,Chase Reed,Male,25-01-2022,Downey
11065,Jessica Henderson,Female,10-02-2022,La Jolla
11066,Grace Butler,Female,31-05-2022,Lebanon
11067,Caleb Carter,Male,18-08-2022,Port Orchard
11068,Tiffany Liang,Female,30-04-2022,Warrnambool
11069,Carolyn Navarro,Female,17-04-2020,Gold Coast
11070,Willie Raji,Male,28-04-2020,Sunbury
11071,Linda Serrano,Female,01-03-2022,Hawthorne
11072,Casey Luo,Female,31-03-2020,St. Leonards
11073,Amy Ye,Female,23-03-2022,Springwood
11074,Levi Arun,Male,23-03-2022,Cloverdale
11075,Felicia Jimenez,Female,28-04-2020,Bendigo
11076,Blake Anderson,Male,21-04-2020,Wollongong
11077,Leah Ye,Female,15-04-2020,Melton
11078,Gina Martin,Female,15-02-2022,Cliffside
11079,Donald Gonzalez,Male,15-03-2022,Geelong
11080,Damien Chander,Male,10-04-2020,Perth
11081,Savannah Baker,Female,12-02-2022,Concord
11082,Angela Butler,Female,22-01-2022,Fremont
11083,Alyssa Cox,Female,06-01-2022,Lincoln Acres
11084,Lucas Phillips,Male,04-01-2022,Lebanon
11085,Emily Johnson,Female,06-12-2022,Newport Beach
11086,Ryan Brown,Male,02-07-2022,Santa Monica
11087,Tamara Liang,Female,25-02-2022,Chula Vista
11088,Hunter Davis,Male,13-01-2022,San Diego
11089,Abigail Price,Female,29-12-2021,Long Beach
11090,Trevor Bryant,Male,07-08-2020,Los Angeles
11091,Dalton Perez,Male,29-01-2022,Haney
11092,Cheryl Diaz,Female,08-04-2020,East Brisbane
11093,Aimee He,Female,07-04-2020,Wollongong
11094,Cedric Ma,Male,07-04-2022,Cranbourne
11095,Chad Kumar,Male,01-04-2020,Port Macquarie
11096,Andrés Anand,Male,11-04-2020,North Sydney
11097,Edwin Nara,Male,04-04-2020,Warrnambool
11098,Mallory Rubio,Female,11-02-2022,Rhodes
11099,Adam Ross,Male,07-04-2020,Port Macquarie
11100,Latasha Navarro,Female,16-04-2020,Cloverdale
11101,Abby Sai,Female,29-04-2020,Cranbourne
11102,Julia Nelson,Female,16-07-2022,Sydney
11103,Cassie Chande,Female,15-04-2020,Darlinghurst
11104,Edgar Sara,Male,04-05-2020,Gold Coast
11105,Candace Fernandez,Female,14-05-2020,Matraville
11106,Jessie Liu,Male,18-05-2020,Warrnambool
11107,Bianca Lin,Female,01-05-2020,St. Leonards
11108,Kari Alvarez,Female,03-05-2020,Port Macquarie
11109,Ruben Kapoor,Male,10-05-2020,South Melbourne
11110,Curtis Yang,Male,01-05-2020,Darlinghurst
11111,Meredith Gutierrez,Female,20-05-2020,Geelong
11112,Crystal Wang,Female,25-05-2020,Hervey Bay
11113,Micheal Blanco,Male,01-02-2022,Perth
11114,Leslie Moreno,Female,18-03-2022,Rhodes
11115,Alvin Cai,Male,10-02-2022,St. Leonards
11116,Clinton Carlson,Male,15-03-2022,Sydney
11117,April Deng,Female,06-05-2020,Matraville
11118,Alvin Zeng,Male,10-07-2022,Lavender Bay
11119,Evan James,Male,03-02-2022,Port Macquarie
11120,Beth Jiménez,Female,14-05-2020,Sydney
11121,Orlando Suarez,Male,24-06-2022,Newcastle
11122,Byron Vazquez,Male,21-02-2022,North Sydney
11123,Philip Alvarez,Male,17-04-2022,Sunbury
11124,Ross Jordan,Male,05-05-2020,Warrnambool
11125,Dana Navarro,Female,31-01-2022,Seaford
11126,Shaun Carson,Male,28-05-2020,North Ryde
11127,Jan Edwards,Female,10-04-2022,San Gabriel
11128,Samantha Long,Female,19-06-2022,Renton
11129,Julia Wright,Female,06-08-2020,Sedro Woolley
11130,Caroline Russell,Female,09-12-2022,Lebanon
11131,Amanda Rivera,Female,18-10-2022,Haney
11132,Melissa Richardson,Female,09-04-2022,Langford
11133,Angela Griffin,Female,30-12-2022,Lake Oswego
11134,Larry Townsend,Male,03-05-2020,Perth
11135,Marcus Harris,Male,18-04-2022,Burlingame
11136,Brianna Morgan,Female,03-01-2022,Metchosin
11137,Jasmine Taylor,Female,31-07-2022,Spokane
11138,Lauren Davis,Female,19-09-2022,Glendale
11139,Tanya Moreno,Female,14-09-2022,Cloverdale
11140,Javier Alvarez,Male,19-03-2022,Burbank
11141,Nicole Ramirez,Female,16-05-2022,Daly City
11142,Eduardo Patterson,Male,13-02-2022,Langford
11143,Jonathan Henderson,Male,15-06-2022,Lakewood
11144,Edward Hernandez,Male,25-01-2022,Ballard
11145,Jasmine Coleman,Female,25-01-2022,Beaverton
